from,to,road_km,rail_km,sea_km,iwt_km
Nagpur,Bengaluru,1094,1194,0,0
Nagpur,Chennai,1121,1149,0,0
Nagpur,Delhi,1132,1093,0,0
Nagpur,Jogighopa,1750,1762,0,0
Bengaluru,Chennai,346,362,0,0
Bengaluru,Delhi,2175,2350,0,0
Chennai,Jogighopa,2842,2865,0,0
Delhi,Jogighopa,1620,1638,0,0
Chennai,Kolkata,1650,1660,1500,0
Chennai,Mumbai,1332,1286,1250,0
Chennai,Kochi,692,709,680,0
Kolkata,Vizag,800,815,750,0
Mumbai,Kochi,1345,1308,1280,0
Mumbai,Goa,594,581,550,0
Jogighopa,Kolkata,920,935,0,700
Jogighopa,Patna,780,705,0,400
Kolkata,Patna,536,561,0,420
Kolkata,Varanasi,680,715,0,550
Jogighopa,Guwahati,150,165,0,120
Nagpur,Hyderabad,515,532,0,0
Nagpur,Mumbai,837,832,0,0
Nagpur,Pune,725,740,0,0
Mumbai,Nagpur,837,832,0,0
Mumbai,Bengaluru,984,1108,0,0
Mumbai,Chennai,1332,1286,1250,0
Mumbai,Delhi,1420,1384,0,0
Kolkata,Chennai,1650,1660,1500,0
Kolkata,Delhi,1532,1526,0,0
Kolkata,Jogighopa,920,935,0,700
Hyderabad,Bengaluru,575,700,0,0
Hyderabad,Chennai,693,715,0,0
Hyderabad,Nagpur,515,532,0,0
Pune,Bengaluru,841,1140,0,0
Pune,Nagpur,725,740,0,0
Pune,Mumbai,149,180,0,0
Ahmedabad,Nagpur,900,925,0,0
Ahmedabad,Delhi,932,936,0,0
Jaipur,Delhi,281,308,0,0
Jaipur,Nagpur,1050,1075,0,0
Lucknow,Delhi,555,512,0,0
Lucknow,Jogighopa,1100,1125,0,0
Patna,Delhi,1038,1118,0,0
Patna,Kolkata,536,561,0,420
Guwahati,Jogighopa,150,165,0,120
Guwahati,Kolkata,1070,1046,0,0
Bhubaneswar,Chennai,1223,1229,1150,0
Bhubaneswar,Kolkata,443,440,0,0
Kochi,Chennai,692,709,680,0
Kochi,Bengaluru,550,600,0,0
Thiruvananthapuram,Chennai,811,864,780,0
Goa,Bengaluru,560,715,0,0
Goa,Mumbai,594,581,550,0
Vizag,Chennai,800,815,750,0
Vizag,Kolkata,800,815,750,0
Varanasi,Delhi,820,850,0,0
Varanasi,Kolkata,680,715,0,550
Surat,Mumbai,280,295,250,0
Surat,Delhi,1100,1125,0,0
Indore,Nagpur,490,505,0,0
Indore,Delhi,800,825,0,0
Chandigarh,Delhi,250,265,0,0
Bhopal,Nagpur,390,405,0,0
Bhopal,Delhi,790,815,0,0
Mumbai,Hyderabad,752,790,0,0
Ahmedabad,Mumbai,532,524,0,0
Pune,Hyderabad,560,600,0,0
Srinagar,Delhi,850,800,0,0
Kochi,Bengaluru,550,600,0,0
Delhi,Mumbai,1420,1384,0,0
